date,tmax,tmin,tavg,city,year
2010-06-01,29.7,25.6,27.65,Miami,2010
2010-06-02,29.3,25.4,27.35,Miami,2010
2010-06-03,30.4,23.9,27.15,Miami,2010
2010-06-04,31.4,25.0,28.2,Miami,2010
2010-06-05,31.2,26.8,29.0,Miami,2010
2010-06-06,31.6,26.8,29.200000000000003,Miami,2010
2010-06-07,31.6,25.9,28.75,Miami,2010
2010-06-08,30.1,25.9,28.0,Miami,2010
2010-06-09,30.1,26.6,28.35,Miami,2010
2010-06-10,31.0,25.4,28.2,Miami,2010
2010-06-11,30.4,26.5,28.45,Miami,2010
2010-06-12,31.5,25.8,28.65,Miami,2010
2010-06-13,29.9,26.4,28.15,Miami,2010
2010-06-14,31.0,25.8,28.4,Miami,2010
2010-06-15,31.4,26.7,29.049999999999997,Miami,2010
2010-06-16,31.6,25.8,28.700000000000003,Miami,2010
2010-06-17,32.1,26.9,29.5,Miami,2010
2010-06-18,31.2,26.5,28.85,Miami,2010
2010-06-19,31.5,27.3,29.4,Miami,2010
2010-06-20,31.4,26.5,28.95,Miami,2010
2010-06-21,31.8,27.9,29.85,Miami,2010
2010-06-22,31.5,27.7,29.6,Miami,2010
2010-06-23,31.3,27.7,29.5,Miami,2010
2010-06-24,31.0,27.5,29.25,Miami,2010
2010-06-25,31.2,27.1,29.15,Miami,2010
2010-06-26,30.4,27.4,28.9,Miami,2010
2010-06-27,31.1,27.2,29.15,Miami,2010
2010-06-28,31.0,27.9,29.45,Miami,2010
2010-06-29,31.2,27.9,29.549999999999997,Miami,2010
2010-06-30,30.7,27.0,28.85,Miami,2010
2010-07-01,30.4,26.3,28.35,Miami,2010
2010-07-02,30.1,25.7,27.9,Miami,2010
2010-07-03,28.6,25.7,27.15,Miami,2010
2010-07-04,29.5,25.3,27.4,Miami,2010
2010-07-05,28.3,25.9,27.1,Miami,2010
2010-07-06,29.8,26.4,28.1,Miami,2010
2010-07-07,29.6,26.3,27.950000000000003,Miami,2010
2010-07-08,29.9,25.7,27.799999999999997,Miami,2010
2010-07-09,30.8,25.1,27.950000000000003,Miami,2010
2010-07-10,31.5,26.5,29.0,Miami,2010
2010-07-11,31.1,25.9,28.5,Miami,2010
2010-07-12,31.2,25.9,28.549999999999997,Miami,2010
2010-07-13,32.0,26.0,29.0,Miami,2010
2010-07-14,29.5,27.0,28.25,Miami,2010
2010-07-15,30.3,27.0,28.65,Miami,2010
2010-07-16,30.1,27.0,28.55,Miami,2010
