date,tmax,tmin,tavg,city,year
2010-06-01,29.9,19.8,24.85,New York,2010
2010-06-02,28.5,18.2,23.35,New York,2010
2010-06-03,30.8,19.9,25.35,New York,2010
2010-06-04,30.1,20.5,25.3,New York,2010
2010-06-05,31.9,23.0,27.45,New York,2010
2010-06-06,32.7,16.7,24.700000000000003,New York,2010
2010-06-07,23.4,14.2,18.799999999999997,New York,2010
2010-06-08,22.3,14.0,18.15,New York,2010
2010-06-09,20.6,13.1,16.85,New York,2010
2010-06-10,25.3,15.4,20.35,New York,2010
2010-06-11,21.4,14.2,17.799999999999997,New York,2010
2010-06-12,27.2,14.0,20.6,New York,2010
2010-06-13,26.7,19.1,22.9,New York,2010
2010-06-14,25.4,19.0,22.2,New York,2010
2010-06-15,25.7,16.5,21.1,New York,2010
2010-06-16,25.2,15.2,20.2,New York,2010
2010-06-17,24.2,17.6,20.9,New York,2010
2010-06-18,28.7,15.3,22.0,New York,2010
2010-06-19,28.3,15.5,21.9,New York,2010
2010-06-20,32.2,20.7,26.450000000000003,New York,2010
2010-06-21,31.6,21.6,26.6,New York,2010
2010-06-22,30.0,20.1,25.05,New York,2010
2010-06-23,32.6,21.6,27.1,New York,2010
2010-06-24,34.3,23.8,29.049999999999997,New York,2010
2010-06-25,30.3,21.1,25.700000000000003,New York,2010
2010-06-26,32.3,19.7,26.0,New York,2010
2010-06-27,32.8,22.7,27.75,New York,2010
2010-06-28,35.4,26.0,30.7,New York,2010
2010-06-29,32.2,21.2,26.700000000000003,New York,2010
2010-06-30,26.9,17.9,22.4,New York,2010
2010-07-01,25.5,17.1,21.3,New York,2010
2010-07-02,27.0,15.4,21.2,New York,2010
2010-07-03,31.6,15.9,23.75,New York,2010
2010-07-04,36.2,20.1,28.150000000000002,New York,2010
2010-07-05,36.7,21.2,28.950000000000003,New York,2010
2010-07-06,38.4,23.9,31.15,New York,2010
2010-07-07,37.0,25.0,31.0,New York,2010
2010-07-08,29.1,23.1,26.1,New York,2010
2010-07-09,29.7,22.9,26.299999999999997,New York,2010
2010-07-10,27.3,22.8,25.05,New York,2010
2010-07-11,31.4,21.7,26.549999999999997,New York,2010
2010-07-12,32.7,21.9,27.3,New York,2010
2010-07-13,27.3,23.3,25.3,New York,2010
2010-07-14,24.5,22.6,23.55,New York,2010
2010-07-15,28.1,22.1,25.1,New York,2010
2010-07-16,32.0,22.3,27.15,New York,2010
2010-07-17,32.3,23.3,27.799999999999997,New York,2010
2010-07-18,32.7,23.5,28.1,New York,2010
2010-07-19,33.6,22.4,28.0,New York,2010
2010-07-20,30.6,23.1,26.85,New York,2010
2010-07-21,32.6,22.9,27.75,New York,2010
2010-07-22,30.6,22.3,26.450000000000003,New York,2010
2010-07-23,31.4,21.5,26.45,New York,2010
2010-07-24,34.7,26.2,30.450000000000003,New York,2010
2010-07-25,31.8,21.3,26.55,New York,2010
2010-07-26,29.2,19.1,24.15,New York,2010
2010-07-27,31.6,18.0,24.8,New York,2010
2010-07-28,30.7,20.3,25.5,New York,2010
2010-07-29,30.5,22.7,26.6,New York,2010
2010-07-30,27.6,19.5,23.55,New York,2010
2010-07-31,28.1,18.9,23.5,New York,2010
2010-08-01,27.1,20.2,23.65,New York,2010
2010-08-02,27.3,19.4,23.35,New York,2010
2010-08-03,29.0,21.0,25.0,New York,2010
2010-08-04,31.5,23.2,27.35,New York,2010
2010-08-05,33.9,24.6,29.25,New York,2010
2010-08-06,30.4,20.7,25.549999999999997,New York,2010
2010-08-07,29.1,20.0,24.55,New York,2010
2010-08-08,30.0,21.0,25.5,New York,2010
2010-08-09,33.3,21.0,27.15,New York,2010
2010-08-10,32.5,23.9,28.2,New York,2010
2010-08-11,32.7,23.5,28.1,New York,2010
2010-08-12,25.3,21.7,23.5,New York,2010
2010-08-13,26.8,19.2,23.0,New York,2010
2010-08-14,26.0,17.1,21.55,New York,2010
2010-08-15,26.8,18.7,22.75,New York,2010
2010-08-16,30.0,21.7,25.85,New York,2010
2010-08-17,30.9,21.6,26.25,New York,2010
2010-08-18,25.9,20.3,23.1,New York,2010
2010-08-19,30.1,19.5,24.8,New York,2010
2010-08-20,31.3,19.9,25.6,New York,2010
2010-08-21,28.2,17.9,23.049999999999997,New York,2010
2010-08-22,24.7,22.0,23.35,New York,2010
2010-08-23,22.0,18.6,20.3,New York,2010
2010-08-24,20.1,17.8,18.950000000000003,New York,2010
2010-08-25,21.1,17.2,19.15,New York,2010
2010-08-26,26.5,17.5,22.0,New York,2010
2010-08-27,24.8,14.8,19.8,New York,2010
2010-08-28,26.7,14.4,20.55,New York,2010
2010-08-29,33.0,17.2,25.1,New York,2010
2010-08-30,32.2,18.8,25.5,New York,2010
