date,tmax,tmin,tavg,city,year
2010-06-01,37.1,21.8,29.450000000000003,Phoenix,2010
2010-06-02,35.6,21.1,28.35,Phoenix,2010
2010-06-03,37.6,21.9,29.75,Phoenix,2010
2010-06-04,39.1,22.9,31.0,Phoenix,2010
2010-06-05,41.3,26.6,33.95,Phoenix,2010
2010-06-06,42.4,26.6,34.5,Phoenix,2010
2010-06-07,41.9,27.1,34.5,Phoenix,2010
2010-06-08,41.2,24.9,33.05,Phoenix,2010
2010-06-09,40.8,25.8,33.3,Phoenix,2010
2010-06-10,38.8,24.1,31.45,Phoenix,2010
2010-06-11,35.2,23.4,29.3,Phoenix,2010
2010-06-12,30.6,19.8,25.200000000000003,Phoenix,2010
2010-06-13,34.1,19.5,26.8,Phoenix,2010
2010-06-14,37.4,21.0,29.2,Phoenix,2010
2010-06-15,39.4,21.8,30.6,Phoenix,2010
2010-06-16,39.6,23.0,31.3,Phoenix,2010
2010-06-17,39.4,22.2,30.799999999999997,Phoenix,2010
2010-06-18,40.6,25.3,32.95,Phoenix,2010
2010-06-19,40.0,21.3,30.65,Phoenix,2010
2010-06-20,39.4,23.0,31.2,Phoenix,2010
2010-06-21,40.6,22.7,31.65,Phoenix,2010
2010-06-22,39.7,21.4,30.55,Phoenix,2010
2010-06-23,42.3,23.2,32.75,Phoenix,2010
2010-06-24,44.0,27.5,35.75,Phoenix,2010
2010-06-25,43.0,27.5,35.25,Phoenix,2010
2010-06-26,40.3,24.8,32.55,Phoenix,2010
2010-06-27,40.7,23.4,32.05,Phoenix,2010
2010-06-28,42.6,26.2,34.4,Phoenix,2010
2010-06-29,42.8,27.0,34.9,Phoenix,2010
2010-06-30,42.9,27.7,35.3,Phoenix,2010
2010-07-01,43.4,31.8,37.6,Phoenix,2010
2010-07-02,44.7,30.8,37.75,Phoenix,2010
2010-07-03,39.6,28.2,33.9,Phoenix,2010
2010-07-04,38.8,24.2,31.5,Phoenix,2010
2010-07-05,39.7,24.7,32.2,Phoenix,2010
2010-07-06,40.2,24.8,32.5,Phoenix,2010
2010-07-07,41.1,25.4,33.25,Phoenix,2010
2010-07-08,42.2,27.8,35.0,Phoenix,2010
2010-07-09,43.0,30.4,36.7,Phoenix,2010
2010-07-10,43.8,30.3,37.05,Phoenix,2010
2010-07-11,41.0,31.1,36.05,Phoenix,2010
2010-07-12,41.6,28.4,35.0,Phoenix,2010
2010-07-13,43.2,29.7,36.45,Phoenix,2010
2010-07-14,43.6,31.5,37.55,Phoenix,2010
2010-07-15,45.1,33.4,39.25,Phoenix,2010
2010-07-16,44.7,33.6,39.150000000000006,Phoenix,2010
2010-07-17,43.9,32.0,37.95,Phoenix,2010
2010-07-18,43.6,32.1,37.85,Phoenix,2010
2010-07-19,43.7,32.9,38.3,Phoenix,2010
2010-07-20,42.9,32.3,37.599999999999994,Phoenix,2010
2010-07-21,42.5,31.6,37.05,Phoenix,2010
2010-07-22,36.2,30.1,33.150000000000006,Phoenix,2010
2010-07-23,38.3,28.4,33.349999999999994,Phoenix,2010
2010-07-24,40.6,28.5,34.55,Phoenix,2010
2010-07-25,41.4,30.0,35.7,Phoenix,2010
2010-07-26,40.9,30.3,35.6,Phoenix,2010
2010-07-27,39.6,30.8,35.2,Phoenix,2010
2010-07-28,38.9,29.9,34.4,Phoenix,2010
2010-07-29,37.3,27.9,32.599999999999994,Phoenix,2010
2010-07-30,35.4,27.9,31.65,Phoenix,2010
