date,tmax,tmin,tavg,city,year
2010-06-01,16.3,9.7,13.0,Seattle,2010
2010-06-02,15.4,9.9,12.65,Seattle,2010
2010-06-03,15.3,7.9,11.600000000000001,Seattle,2010
2010-06-04,14.0,8.5,11.25,Seattle,2010
2010-06-05,18.3,6.8,12.55,Seattle,2010
2010-06-06,14.7,10.5,12.6,Seattle,2010
2010-06-07,15.7,10.8,13.25,Seattle,2010
2010-06-08,17.8,7.2,12.5,Seattle,2010
2010-06-09,16.7,11.2,13.95,Seattle,2010
2010-06-10,15.6,10.2,12.899999999999999,Seattle,2010
2010-06-11,15.6,10.1,12.85,Seattle,2010
2010-06-12,20.6,8.4,14.5,Seattle,2010
2010-06-13,18.3,11.3,14.8,Seattle,2010
2010-06-14,15.4,10.2,12.8,Seattle,2010
2010-06-15,13.8,8.9,11.350000000000001,Seattle,2010
2010-06-16,15.8,8.8,12.3,Seattle,2010
2010-06-17,15.7,10.1,12.899999999999999,Seattle,2010
2010-06-18,18.5,9.0,13.75,Seattle,2010
2010-06-19,15.5,11.2,13.35,Seattle,2010
2010-06-20,13.4,10.9,12.15,Seattle,2010
2010-06-21,15.6,10.0,12.8,Seattle,2010
2010-06-22,20.1,10.5,15.3,Seattle,2010
2010-06-23,22.7,12.0,17.35,Seattle,2010
2010-06-24,21.9,12.1,17.0,Seattle,2010
2010-06-25,19.9,14.0,16.95,Seattle,2010
2010-06-26,19.2,11.0,15.1,Seattle,2010
2010-06-27,20.9,10.2,15.549999999999999,Seattle,2010
2010-06-28,20.3,12.7,16.5,Seattle,2010
2010-06-29,16.6,11.0,13.8,Seattle,2010
2010-06-30,17.0,7.9,12.45,Seattle,2010
2010-07-01,15.4,9.4,12.4,Seattle,2010
2010-07-02,17.5,11.1,14.3,Seattle,2010
2010-07-03,16.8,10.6,13.7,Seattle,2010
2010-07-04,17.6,8.9,13.25,Seattle,2010
2010-07-05,16.8,11.3,14.05,Seattle,2010
2010-07-06,22.6,8.4,15.5,Seattle,2010
2010-07-07,28.2,11.5,19.85,Seattle,2010
2010-07-08,30.5,13.2,21.85,Seattle,2010
2010-07-09,30.5,14.2,22.35,Seattle,2010
2010-07-10,25.9,16.0,20.95,Seattle,2010
2010-07-11,24.2,15.3,19.75,Seattle,2010
2010-07-12,18.7,12.1,15.399999999999999,Seattle,2010
2010-07-13,18.5,11.9,15.2,Seattle,2010
2010-07-14,23.8,10.6,17.2,Seattle,2010
2010-07-15,25.1,12.4,18.75,Seattle,2010
2010-07-16,21.6,12.5,17.05,Seattle,2010
2010-07-17,22.4,11.6,17.0,Seattle,2010
2010-07-18,21.6,12.4,17.0,Seattle,2010
2010-07-19,20.9,11.7,16.299999999999997,Seattle,2010
2010-07-20,23.6,12.3,17.950000000000003,Seattle,2010
2010-07-21,25.9,12.5,19.2,Seattle,2010
2010-07-22,20.3,14.2,17.25,Seattle,2010
2010-07-23,23.3,12.7,18.0,Seattle,2010
2010-07-24,27.2,13.0,20.1,Seattle,2010
2010-07-25,27.2,15.5,21.35,Seattle,2010
2010-07-26,27.9,12.4,20.15,Seattle,2010
2010-07-27,27.5,14.8,21.15,Seattle,2010
2010-07-28,26.0,13.4,19.7,Seattle,2010
2010-07-29,24.3,12.5,18.4,Seattle,2010
2010-07-30,25.3,13.0,19.15,Seattle,2010
2010-07-31,24.2,13.6,18.9,Seattle,2010
2010-08-01,22.8,13.0,17.9,Seattle,2010
2010-08-02,23.3,14.7,19.0,Seattle,2010
2010-08-03,24.1,14.2,19.15,Seattle,2010
2010-08-04,27.4,15.5,21.45,Seattle,2010
2010-08-05,28.5,16.9,22.7,Seattle,2010
2010-08-06,24.2,14.8,19.5,Seattle,2010
2010-08-07,18.3,14.0,16.15,Seattle,2010
2010-08-08,18.9,14.5,16.7,Seattle,2010
2010-08-09,17.8,14.3,16.05,Seattle,2010
2010-08-10,19.6,13.0,16.3,Seattle,2010
2010-08-11,23.9,11.2,17.549999999999997,Seattle,2010
2010-08-12,24.6,12.9,18.75,Seattle,2010
2010-08-13,27.2,13.2,20.2,Seattle,2010
2010-08-14,32.2,13.9,23.05,Seattle,2010
2010-08-15,32.9,14.7,23.799999999999997,Seattle,2010
2010-08-16,31.3,15.3,23.3,Seattle,2010
2010-08-17,31.0,16.1,23.55,Seattle,2010
2010-08-18,23.2,14.0,18.6,Seattle,2010
2010-08-19,20.2,13.0,16.6,Seattle,2010
2010-08-20,20.4,11.0,15.7,Seattle,2010
2010-08-21,20.9,12.0,16.45,Seattle,2010
2010-08-22,16.8,13.0,14.9,Seattle,2010
2010-08-23,21.3,12.3,16.8,Seattle,2010
2010-08-24,25.7,10.7,18.2,Seattle,2010
2010-08-25,26.8,13.2,20.0,Seattle,2010
2010-08-26,17.9,12.2,15.049999999999999,Seattle,2010
2010-08-27,17.3,10.2,13.75,Seattle,2010
2010-08-28,18.9,8.7,13.799999999999999,Seattle,2010
2010-08-29,18.7,9.9,14.3,Seattle,2010
2010-08-30,19.2,9.7,14.45,Seattle,2010
2010-08-31,13.9,12.0,12.95,Seattle,2010
2011-06-01,13.8,9.1,11.45,Seattle,2011
2011-06-02,15.6,8.6,12.1,Seattle,2011
2011-06-03,18.1,8.1,13.100000000000001,Seattle,2011
2011-06-04,21.3,7.1,14.2,Seattle,2011
2011-06-05,22.0,9.7,15.85,Seattle,2011
2011-06-06,20.3,11.6,15.95,Seattle,2011
2011-06-07,15.1,11.6,13.35,Seattle,2011
2011-06-08,16.1,9.8,12.950000000000001,Seattle,2011
2011-06-09,18.0,9.8,13.9,Seattle,2011
2011-06-10,16.4,10.5,13.45,Seattle,2011
2011-06-11,16.5,10.7,13.6,Seattle,2011
2011-06-12,18.5,9.4,13.95,Seattle,2011
2011-06-13,18.3,12.1,15.2,Seattle,2011
2011-06-14,15.5,9.4,12.45,Seattle,2011
2011-06-15,15.7,8.7,12.2,Seattle,2011
2011-06-16,16.9,6.9,11.899999999999999,Seattle,2011
2011-06-17,19.0,8.3,13.65,Seattle,2011
2011-06-18,14.4,11.2,12.8,Seattle,2011
2011-06-19,16.1,11.5,13.8,Seattle,2011
